address,labels,cls
DATA/audio_X1623314151256752640,[0.13941198 0.32535153],1
DATA/audio_X1623314151447714528,[0.13200257 0.31080773],1
DATA/audio_X1623314151640650912,[0.12268227 0.31584456],1
DATA/audio_X1623314151830463232,[0.09840266 0.31215771],1
DATA/audio_X1623314152023259616,[0.06910286 0.30749053],1
DATA/audio_X1623314152215597632,[0.06744341 0.31053281],1
DATA/audio_X1623314152407156864,[0.06775118 0.30617855],1
DATA/audio_X1623314152598950304,[0.09808597 0.32515568],1
DATA/audio_X1623314152982622400,[0.09275765 0.24786556],1
DATA/audio_X1623314153175779328,[0.09579517 0.220639  ],1
DATA/audio_X1623314153367084832,[0.06866198 0.22265114],1
DATA/audio_X1623314153559224608,[0.08766474 0.23397927],1
DATA/audio_X1623314153752705984,[0.0866177  0.21951621],1
DATA/audio_X1623314153980760224,[0.08528517 0.23597384],1
DATA/audio_X1623314154135640256,[0.06320555 0.2621291 ],1
DATA/audio_X1623314154327529760,[0.06941261 0.22297618],1
DATA/audio_X1623314154710500320,[0.07038453 0.23009522],1
DATA/audio_X1623314154903552864,[0.10178702 0.21413361],1
DATA/audio_X1623314155093846848,[0.09535621 0.21480778],1
DATA/audio_X1623314155288024608,[0.07586443 0.16851431],1
DATA/audio_X1623314155479231328,[0.09653127 0.16888337],1
DATA/audio_X1623314155672958464,[0.08973007 0.1660702 ],1
DATA/audio_X1623314155863988224,[0.08610599 0.14019999],1
DATA/audio_X1623314156059458528,[0.03812095 0.07825671],1
DATA/audio_X1623314156247997568,[-0.01487878  0.05090798],1
DATA/audio_X1623314156441442080,[-0.02780406  0.07631811],1
DATA/audio_X1623314156631579648,[-0.01358901  0.09683004],1
DATA/audio_X1623314156823758624,[-0.00286219  0.10141957],1
DATA/audio_X1623314157015360736,[0.00020119 0.11455145],1
DATA/audio_X1623314157206422080,[0.01129217 0.12380198],1
DATA/audio_X1623314157399265600,[0.01569248 0.1223071 ],1
DATA/audio_X1623314157592997696,[0.0269934  0.12738743],1
DATA/audio_X1623314157784431968,[0.05301061 0.12847271],1
DATA/audio_X1623314157975439136,[0.00312628 0.14878784],1
DATA/audio_X1623314158168858976,[-0.01045743  0.16405728],1
DATA/audio_X1623314158359193856,[-0.00883132  0.10351794],1
DATA/audio_X1623314158552717248,[-0.02871949  0.10998905],1
DATA/audio_X1623314158935150400,[-0.05338169  0.10950544],1
DATA/audio_X1623314159127693856,[-0.12495032  0.11481015],1
DATA/audio_X1623314159319157728,[-0.15914102  0.0927671 ],1
DATA/audio_X1623314159511513728,[-0.20468064  0.03395405],1
DATA/audio_X1623314160088384128,[-0.27274208  0.01370965],1
DATA/audio_X1623314160278802048,[-0.27001665  0.0532902 ],1
DATA/audio_X1623314160470859456,[-0.30821558  0.1006143 ],1
DATA/audio_X1623314160663366720,[-0.34231145  0.09779418],1
DATA/audio_X1623314160855637280,[-0.34157708  0.13077515],1
DATA/audio_X1623314161046939872,[-0.37243948  0.10743738],1
DATA/audio_X1623314161238779008,[-0.35602142  0.09123585],1
DATA/audio_X1623314161430781664,[-0.33986151  0.08660116],1
DATA/audio_X1623314161623240544,[-0.38860174  0.11680656],1
DATA/audio_X1623314161815731872,[-0.39467887  0.15824787],1
DATA/audio_X1623314162007403232,[-0.42819367  0.22724116],1
DATA/audio_X1623314162212751648,[-0.39250755  0.2839046 ],1
DATA/audio_X1623314162390646976,[-0.36823418  0.29326813],1
DATA/audio_X1623314162588759232,[-0.35142205  0.30509432],1
DATA/audio_X1623314162774128672,[-0.32739409  0.33606956],1
DATA/audio_X1623314162966535488,[-0.34746492  0.33750384],1
DATA/audio_X1623314163161962944,[-0.30563714  0.36979072],1
DATA/audio_X1623314163353489952,[-0.26094863  0.42344975],1
DATA/audio_X1623314163543479744,[-0.20796662  0.48003851],1
DATA/audio_X1623314163735101152,[-0.10475972  0.48447205],1
DATA/audio_X1623314163927757376,[-0.10670641  0.50759466],1
DATA/audio_X1623314164120093056,[-0.09158689  0.51597318],1
DATA/audio_X1623314164316364864,[-0.03298028  0.52095038],1
DATA/audio_X1623314164504773216,[0.02837491 0.50615589],1
DATA/audio_X1623314164696843424,[0.06975232 0.48970216],1
DATA/audio_X1623314165082169760,[0.07518563 0.50593292],1
DATA/audio_X1623314165273212544,[-0.0037638   0.54700953],1
DATA/audio_X1623314165465062912,[0.01843977 0.57233743],1
DATA/audio_X1623314165658738496,[0.02032765 0.55911393],1
DATA/audio_X1623314165849350976,[0.04028196 0.53924169],1
DATA/audio_X1623314166041047968,[0.06830186 0.51637398],1
DATA/audio_X1623314166232748832,[0.0805939  0.49708802],1
DATA/audio_X1623314166426070752,[0.11605587 0.46878694],1
DATA/audio_X1623314166617078880,[0.14607123 0.42439896],1
DATA/audio_X1623314166809246400,[0.17831841 0.38237638],1
DATA/audio_X1623314167004522208,[0.19876144 0.3576235 ],1
DATA/audio_X1623314167192042336,[0.17270062 0.34555025],1
DATA/audio_X1623314167383887264,[0.18011132 0.31528779],1
DATA/audio_X1623314167576782944,[0.19337705 0.35218712],1
DATA/audio_X1623314167770038848,[0.20357988 0.37822267],1
DATA/audio_X1623314167962411008,[0.22640488 0.3693708 ],1
DATA/audio_X1623314168154412192,[0.30340631 0.35852277],1
DATA/audio_X1623314168346209760,[0.31409464 0.33625508],1
DATA/audio_X1623314168538651200,[0.32433515 0.29926316],1
DATA/audio_X1623314168730561184,[0.3109576  0.26212967],1
DATA/audio_X1623314168921409152,[0.30106375 0.25501885],1
DATA/audio_X1623314169115665152,[0.29595114 0.22558609],1
DATA/audio_X1623314169305367552,[0.26628182 0.20410297],1
DATA/audio_X1623314169496979552,[0.25010229 0.22471976],1
DATA/audio_X1623314170073557088,[0.16368272 0.19097049],1
DATA/audio_X1623314170327447904,[0.12639672 0.18039886],1
DATA/audio_X1623314170458706016,[0.09867528 0.18598815],1
DATA/audio_X1623314170650965632,[0.06423074 0.20356012],1
DATA/audio_X1623314170841702560,[0.04882196 0.20283348],1
DATA/audio_X1623314171033487744,[0.01889069 0.21906888],1
DATA/audio_X1623314171226450400,[-0.00836559  0.20586778],1
DATA/audio_X1623314171417456672,[-0.04319076  0.19721239],1
DATA/audio_X1623314171610291680,[-0.07325295  0.18368617],1
DATA/audio_X1623314171802472064,[-0.08686712  0.18233888],1
DATA/audio_X1623314171992592992,[-0.10470052  0.17745691],1
DATA/audio_X1623314172185532736,[-0.11033588  0.18958851],1
DATA/audio_X1623314172568517664,[-0.15248254  0.19513287],1
DATA/audio_X1623314172762298944,[-0.16544824  0.18663507],1
DATA/audio_X1623314173145097696,[-0.18156142  0.19129066],1
DATA/audio_X1623314173336478016,[-0.1943683   0.20111345],1
DATA/audio_X1623314173529196288,[-0.1853127   0.20484393],1
DATA/audio_X1623314173722656672,[-0.18758435  0.23060901],1
DATA/audio_X1623314173913102208,[-0.1845264  0.257444 ],1
DATA/audio_X1623314174105252992,[-0.18390267  0.26062029],1
DATA/audio_X1623314174300135552,[-0.18319894  0.26979921],1
DATA/audio_X1623314174492609216,[-0.17014464  0.28672605],1
DATA/audio_X1623314174684391520,[-0.1481865   0.29983996],1
DATA/audio_X1623314174874158304,[-0.12420656  0.3213319 ],1
DATA/audio_X1623314175065341280,[-0.09373351  0.33080272],1
DATA/audio_X1623314175451807264,[0.00344461 0.31698183],1
DATA/audio_X1623314175641538912,[0.01738451 0.33500077],1
DATA/audio_X1623314176030178016,[-0.02814783  0.28726862],1
DATA/audio_X1623314176217552832,[-0.04374472  0.30893914],1
DATA/audio_X1623314176408910144,[-0.04342383  0.31294619],1
DATA/audio_X1623314176600262176,[-0.02686981  0.34106188],1
DATA/audio_X1623314176793321952,[0.01294562 0.32447961],1
DATA/audio_X1623314176986213696,[0.02203717 0.29132963],1
DATA/audio_X1623314177177319424,[0.04286234 0.30665629],1
DATA/audio_X1623314177369592256,[0.05503416 0.30078471],1
DATA/audio_X1623314177568105344,[0.07206809 0.27902398],1
DATA/audio_X1623314177753212544,[0.07194161 0.26618156],1
DATA/audio_X1623314177944080064,[0.08238906 0.27757745],1
DATA/audio_X1623314178137446880,[0.10574148 0.2717047 ],1
DATA/audio_X1623314178330170112,[0.12738777 0.26342046],1
DATA/audio_X1623314178728767808,[0.11956305 0.21835633],1
DATA/audio_X1623314178905022592,[0.08621616 0.20095104],1
DATA/audio_X1623314179098258400,[0.07904738 0.22885438],1
DATA/audio_X1623314179290026112,[0.06177303 0.18815978],1
DATA/audio_X1623314179480758400,[0.09275414 0.18374046],1
DATA/audio_X1623314179673570080,[0.07601283 0.19580101],1
DATA/audio_X1623314179864886144,[0.06179414 0.15655778],1
DATA/audio_X1623314180059444256,[0.06102146 0.15850572],1
DATA/audio_X1623314180251169504,[0.04424246 0.1575774 ],1
DATA/audio_X1623314180441586080,[0.02353377 0.13296558],1
DATA/audio_X1623314180633138880,[0.05017456 0.16523572],1
DATA/audio_X1623314180826198688,[0.06109869 0.16246333],1
DATA/audio_X1623314181016126368,[0.04212461 0.1370639 ],1
DATA/audio_X1623314181210260896,[0.04187043 0.14260839],1
DATA/audio_X1623314181399166944,[0.0486716  0.12600744],1
DATA/audio_X1623314181593928544,[0.02182638 0.11663812],1
DATA/audio_X1623314181784526080,[0.02637958 0.11602671],1
DATA/audio_X1623314181978431200,[-0.03621736  0.12376179],1
DATA/audio_X1623314182169854400,[-0.03432714  0.12853423],1
DATA/audio_X1623314182361387680,[-0.00922533  0.14519689],1
DATA/audio_X1623314182745698528,[1.05183328e-04 1.34865810e-01],1
DATA/audio_X1623314182936574528,[-0.01784039  0.12545646],1
DATA/audio_X1623314183129142240,[-0.02524414  0.10110773],1
DATA/audio_X1623314183322561056,[-0.05063442  0.10107122],1
DATA/audio_X1623314183513129632,[-0.06285033  0.10313173],1
DATA/audio_X1623314183706179648,[-0.08578946  0.08912696],1
DATA/audio_X1623314183896369568,[-0.11620968  0.07756282],1
DATA/audio_X1623314184090618272,[-0.14949522  0.09891179],1
DATA/audio_X1623314184281713120,[-0.171465    0.08108163],1
DATA/audio_X1623314184473519808,[-0.21972848  0.0538868 ],1
DATA/audio_X1623314184664673984,[-0.24231643  0.05808635],1
DATA/audio_X1623314184858955744,[-0.29877966  0.0364707 ],1
DATA/audio_X1623314185050466208,[-0.30363035  0.00089415],1
DATA/audio_X1623314185241247648,[-0.26570391 -0.05778614],1
DATA/audio_X1623314185433273952,[-0.28863432 -0.07582312],1
DATA/audio_X1623314185626707200,[-0.27581158 -0.0863016 ],1
DATA/audio_X1623314186010589248,[-0.37013484 -0.17580157],1
DATA/audio_X1623314186200839744,[-0.35798694 -0.2197663 ],1
DATA/audio_X1623314186392556352,[-0.35835792 -0.26065877],1
DATA/audio_X1623314186778614336,[-0.34226841 -0.34099627],1
DATA/audio_X1623314186972398048,[-0.34328995 -0.40025279],1
DATA/audio_X1623314187163519904,[-0.32473955 -0.42521935],1
DATA/audio_X1623314187355296832,[-0.28339031 -0.45187052],1
DATA/audio_X1623314187547661472,[-0.24011134 -0.47965389],1
DATA/audio_X1623314187738848992,[-0.2029477  -0.48547012],1
DATA/audio_X1623314187931444288,[-0.1110613  -0.54888172],1
DATA/audio_X1623314188122760832,[-0.10049515 -0.56154103],1
DATA/audio_X1623314188313866688,[-0.12766791 -0.58014921],1
DATA/audio_X1623314188507613088,[-0.08609526 -0.52954452],1
DATA/audio_X1623314188698244992,[-0.04862172 -0.51508269],1
DATA/audio_X1623314188889664608,[-0.06104884 -0.53137483],1
DATA/audio_X1623314189082253344,[-0.06345153 -0.56276434],1
DATA/audio_X1623314189272965952,[-0.02097411 -0.55224394],1
DATA/audio_X1623314189659878592,[ 0.09109764 -0.50143823],1
DATA/audio_X1623314189849556832,[ 0.14922395 -0.5160209 ],1
DATA/audio_X1623314190042469664,[ 0.15338651 -0.54380863],1
DATA/audio_X1623314190234828640,[ 0.23668453 -0.53670367],1
DATA/audio_X1623314190426892896,[ 0.27092275 -0.49340557],1
DATA/audio_X1623314190618388800,[ 0.2780253  -0.43557527],1
DATA/audio_X1623314190810112352,[ 0.30051545 -0.39250369],1
DATA/audio_X1623314191001264160,[ 0.35087056 -0.36666493],1
DATA/audio_X1623314191194571264,[ 0.3645026  -0.36798558],1
DATA/audio_X1623314191386980704,[ 0.40903087 -0.31266298],1
DATA/audio_X1623314191579045728,[ 0.40719612 -0.2556461 ],1
DATA/audio_X1623314191771002432,[ 0.40933983 -0.22497134],1
DATA/audio_X1623314191962644512,[ 0.435895   -0.17651215],1
DATA/audio_X1623314192158609824,[ 0.40707502 -0.171807  ],1
DATA/audio_X1623314192345908000,[ 0.3826494  -0.16790604],1
DATA/audio_X1623314192538522432,[ 0.35833291 -0.1649188 ],1
DATA/audio_X1623314192731172224,[ 0.33302754 -0.14816539],1
DATA/audio_X1623314192923427200,[ 0.28518573 -0.12669483],1
DATA/audio_X1623314193114406336,[ 0.2823704 -0.1156723],1
DATA/audio_X1623314193305705312,[ 0.2527809  -0.12700149],1
DATA/audio_X1623314193497617856,[ 0.24264261 -0.13354909],1
DATA/audio_X1623314193881254048,[ 0.1597169  -0.17466114],1
DATA/audio_X1623314194073426176,[ 0.12324632 -0.17471069],1
DATA/audio_X1623314194266724672,[ 0.11206301 -0.17787221],1
DATA/audio_X1623314194460291488,[ 0.09244772 -0.17877893],1
DATA/audio_X1623314194650424160,[ 0.12809219 -0.16392472],1
DATA/audio_X1623314194843045472,[ 0.11314172 -0.16117007],1
DATA/audio_X1623314195072778208,[ 0.10026454 -0.15641082],1
DATA/audio_X1623314195226719840,[ 0.09535122 -0.13837348],1
DATA/audio_X1623314195418303424,[ 0.08916652 -0.12553665],1
DATA/audio_X1623314195611934592,[ 0.08897256 -0.12346823],1
DATA/audio_X1623314195803019392,[ 0.09255244 -0.11685569],1
DATA/audio_X1623314195995997696,[ 0.09251127 -0.11685385],1
DATA/audio_X1623314196186308256,[ 0.07742095 -0.10514351],1
DATA/audio_X1623314196377874976,[ 0.06528988 -0.11413251],1
DATA/audio_X1623314196571493408,[ 0.04043908 -0.12262413],1
DATA/audio_X1623314196764524352,[ 0.01882924 -0.11913295],1
DATA/audio_X1623314196955918816,[ 0.02104636 -0.1328985 ],1
DATA/audio_X1623314197146289056,[-0.00698271 -0.10646749],1
DATA/audio_X1623314197338469664,[-0.03222262 -0.12500616],1
DATA/audio_X1623314197530581408,[-0.04277455 -0.12217288],1
DATA/audio_X1623314197722373024,[-0.07648775 -0.11665003],1
DATA/audio_X1623314197914861888,[-0.09533729 -0.12808979],1
DATA/audio_X1623314198105924576,[-0.12227657 -0.12509009],1
DATA/audio_X1623314198297773248,[-0.13648615 -0.11688584],1
DATA/audio_X1623314198489818880,[-0.15322898 -0.13055988],1
DATA/audio_X1623314198681844064,[-0.18412107 -0.10837265],1
DATA/audio_X1623314199067282144,[-0.2084734  -0.09913041],1
DATA/audio_X1623314199263378016,[-0.22129046 -0.10886469],1
DATA/audio_X1623314199451651904,[-0.24497539 -0.13583777],1
DATA/audio_X1623314199642324704,[-0.27398062 -0.14555812],1
DATA/audio_X1623314199833506144,[-0.28076205 -0.14813049],1
DATA/audio_X1623314200028274016,[-0.32718454 -0.14095469],1
DATA/audio_X1623314200219115776,[-0.36473256 -0.13519043],1
DATA/audio_X1623314200409525760,[-0.40613699 -0.14829203],1
DATA/audio_X1623314200603791616,[-0.42699739 -0.14421984],1
DATA/audio_X1623314200795006432,[-0.44414243 -0.17068893],1
DATA/audio_X1623314200985983136,[-0.47258639 -0.16981646],1
DATA/audio_X1623314201177320000,[-0.50277073 -0.17447582],1
DATA/audio_X1623314201371484288,[-0.52969992 -0.15796653],1
DATA/audio_X1623314201563526144,[-0.55326929 -0.18428462],1
DATA/audio_X1623314201757770304,[-0.53867353 -0.24074056],1
DATA/audio_X1623314201947410112,[-0.58154313 -0.2802462 ],1
DATA/audio_X1623314202139764544,[-0.52146141 -0.31325228],1
DATA/audio_X1623314202331860640,[-0.4958524  -0.35632506],1
DATA/audio_X1623314202715057152,[-0.46792415 -0.45922258],1
DATA/audio_X1623314202906216160,[-0.46582902 -0.49034999],1
DATA/audio_X1623314203356105920,[-0.32318039 -0.60782872],1
DATA/audio_X1623314203482933600,[-0.29710798 -0.63512511],1
DATA/audio_X1623314203674144384,[-0.27907754 -0.63572575],1
DATA/audio_X1623314203865867072,[-0.21279504 -0.67060981],1
DATA/audio_X1623314204062132576,[-0.15030135 -0.7029107 ],1
DATA/audio_X1623314204250244096,[-0.11386425 -0.70364548],1
DATA/audio_X1623314204442351168,[-0.05875371 -0.70341764],1
DATA/audio_X1623314204634278880,[-0.09947475 -0.68686316],1
DATA/audio_X1623314204827176832,[-0.04065656 -0.67900222],1
DATA/audio_X1623314205017396032,[ 0.02697901 -0.69025674],1
DATA/audio_X1623314205211737856,[ 0.11340136 -0.67485044],1
DATA/audio_X1623314205402418336,[ 0.15841357 -0.62776922],1
DATA/audio_X1623314205593134304,[ 0.19229048 -0.60451136],1
DATA/audio_X1623314205787670336,[ 0.20835564 -0.59542505],1
DATA/audio_X1623314205979978912,[ 0.25478054 -0.57933303],1
DATA/audio_X1623314206169815392,[ 0.27940929 -0.5851545 ],1
DATA/audio_X1623314206555558496,[ 0.3581402 -0.6002002],1
DATA/audio_X1623314206938431232,[ 0.39565081 -0.58826662],1
DATA/audio_X1623314207131244384,[ 0.41797012 -0.50650758],1
DATA/audio_X1623314207323212800,[ 0.45258689 -0.46895448],1
DATA/audio_X1623314207513546080,[ 0.49263406 -0.42557032],1
DATA/audio_X1623314207709064192,[ 0.50284689 -0.39994581],1
DATA/audio_X1623314207901512768,[ 0.48770981 -0.34244082],1
DATA/audio_X1623314208092577504,[ 0.49508385 -0.33232301],1
DATA/audio_X1623314208285371456,[ 0.49881019 -0.31332864],1
DATA/audio_X1623314208476385408,[ 0.49713829 -0.29772551],1
DATA/audio_X1623314208667666240,[ 0.44822628 -0.3173578 ],1
DATA/audio_X1623314208862863808,[ 0.3900651  -0.33404384],1
DATA/audio_X1623314209243429632,[ 0.2753484  -0.36746992],1
DATA/audio_X1623314209437740704,[ 0.23651676 -0.4093009 ],1
DATA/audio_X1623314209629117088,[ 0.17767156 -0.42834459],1
DATA/audio_X1623314209820598368,[ 0.15323378 -0.43352076],1
DATA/audio_X1623314210397540224,[ 0.06110404 -0.43400762],1
DATA/audio_X1623314210592579936,[ 0.05561361 -0.43392014],1
DATA/audio_X1623314210780285856,[ 0.05509663 -0.40993106],1
DATA/audio_X1623314210971403360,[ 0.04430948 -0.3985904 ],1
DATA/audio_X1623314211165835168,[ 0.07519758 -0.42467051],1
DATA/audio_X1623314211354621664,[ 0.09774824 -0.45842391],1
DATA/audio_X1623314211740750624,[ 0.06050323 -0.40009644],1
DATA/audio_X1623314211931644416,[-0.07067258 -0.48430539],1
DATA/audio_X1623314212123824000,[-0.05868683 -0.46248119],1
DATA/audio_X1623314212316523552,[-0.05820635 -0.4588107 ],1
DATA/audio_X1623314212701062720,[-0.09469677 -0.45129109],1
DATA/audio_X1623314212890757792,[-0.09563246 -0.46209656],1
DATA/audio_X1623314213084885408,[-0.11406396 -0.47483523],1
DATA/audio_X1623314213276517664,[-0.14494394 -0.45638082],1
DATA/audio_X1623314213466775872,[-0.16608052 -0.47421264],1
DATA/audio_X1623314213661410304,[-0.21640408 -0.57603305],1
DATA/audio_X1623314213853460736,[-0.23010054 -0.55676452],1
DATA/audio_X1623314214235997664,[-0.28023218 -0.56230227],1
DATA/audio_X1623314214427701280,[-0.28754308 -0.59387404],1
DATA/audio_X1623314214620686144,[-0.304338   -0.61357264],1
DATA/audio_X1623314214811549184,[-0.35899386 -0.61209784],1
DATA/audio_X1623314215004501888,[-0.35625444 -0.60297103],1
DATA/audio_X1623314215197454880,[-0.37020055 -0.60046511],1
DATA/audio_X1623314215388873056,[-0.38819077 -0.57940518],1
DATA/audio_X1623314215579808576,[-0.42101295 -0.57605119],1
DATA/audio_X1623314215771355456,[-0.41228876 -0.56357226],1
DATA/audio_X1623314215963947648,[-0.42611642 -0.53552894],1
DATA/audio_X1623314216158070304,[-0.47797921 -0.51624943],1
DATA/audio_X1623314216348412768,[-0.54074149 -0.52627293],1
DATA/audio_X1623314216541464256,[-0.5772976  -0.50979449],1
DATA/audio_X1623314216731522848,[-0.61170181 -0.55401255],1
DATA/audio_X1623314216924730400,[-0.58151039 -0.57997757],1
DATA/audio_X1623314217115842464,[-0.58130868 -0.63182102],1
DATA/audio_X1623314217309236672,[-0.52817661 -0.66376507],1
DATA/audio_X1623314217501410272,[-0.48301885 -0.72241866],1
DATA/audio_X1623314217691883360,[-0.46092759 -0.7682499 ],1
DATA/audio_X1623314217883680064,[-0.40541677 -0.83182935],1
DATA/audio_X1623314218075186560,[-0.33671829 -0.87137402],1
DATA/audio_X1623314218267570528,[-0.25494289 -0.94947571],1
DATA/audio_X1623314218462751712,[-0.17254136 -0.95176587],1
DATA/audio_X1623314218653971104,[-0.09538867 -0.94299153],1
DATA/audio_X1623314218844378112,[-0.03747587 -0.94229073],1
DATA/audio_X1623314219037383904,[ 0.02272751 -0.89568831],1
DATA/audio_X1623314219229341056,[ 0.07816362 -0.87316471],1
DATA/audio_X1623314219421478048,[ 0.15643279 -0.84952955],1
DATA/audio_X1623314219611355488,[ 0.2016036  -0.83420739],1
DATA/audio_X1623314219868306944,[ 0.25266303 -0.84667412],1
DATA/audio_X1623314219996420032,[ 0.2713342  -0.84843124],1
DATA/audio_X1623314220187337632,[ 0.2967325  -0.87215112],1
DATA/audio_X1623314220382502624,[ 0.3283174  -0.83203799],1
DATA/audio_X1623314220572262240,[ 0.35404912 -0.80498188],1
DATA/audio_X1623314220960357824,[ 0.36834656 -0.78380892],1
DATA/audio_X1623314221150228864,[ 0.35684328 -0.77436254],1
DATA/audio_X1623314221340408480,[ 0.33764343 -0.7863464 ],1
DATA/audio_X1623314221531857120,[ 0.31552141 -0.79204515],1
DATA/audio_X1623314221724071424,[ 0.29557191 -0.77597618],1
DATA/audio_X1623314221916501792,[ 0.25739023 -0.77933362],1
DATA/audio_X1623314222111081504,[ 0.22498915 -0.82654612],1
DATA/audio_X1623314222492351200,[ 0.16130913 -0.81808287],1
DATA/audio_X1623314222685412928,[ 0.15436731 -0.81976983],1
DATA/audio_X1623314222879673824,[ 0.14279234 -0.80951796],1
DATA/audio_X1623314223069316192,[ 0.15324223 -0.7950087 ],1
DATA/audio_X1623314223262065728,[ 0.19375743 -0.81064923],1
DATA/audio_X1623314223454171200,[ 0.21027035 -0.77940911],1
DATA/audio_X1623314223644677824,[ 0.27158164 -0.7776397 ],1
DATA/audio_X1623314223836802848,[ 0.31612506 -0.74928363],1
DATA/audio_X1623314224028655776,[ 0.34772099 -0.71182475],1
DATA/audio_X1623314224221632672,[ 0.37819128 -0.68165486],1
DATA/audio_X1623314224412138112,[ 0.40279114 -0.64120058],1
DATA/audio_X1623314224606071808,[ 0.43404633 -0.60843958],1
DATA/audio_X1623314224794822560,[ 0.48427051 -0.59941721],1
DATA/audio_X1623314224987794464,[ 0.50987729 -0.56025016],1
DATA/audio_X1623314225180053728,[ 0.54125483 -0.52868654],1
DATA/audio_X1623314225374011936,[ 0.58470017 -0.4676876 ],1
DATA/audio_X1623314225565346272,[ 0.57212777 -0.41544302],1
DATA/audio_X1623314225756227936,[ 0.58885918 -0.35878032],1
DATA/audio_X1623314225949095168,[ 0.59067273 -0.32847848],1
DATA/audio_X1623314226141797216,[ 0.59402108 -0.2809079 ],1
DATA/audio_X1623314226331241088,[ 0.59346627 -0.24212346],1
DATA/audio_X1623314226525926848,[ 0.5717469  -0.25325651],1
DATA/audio_X1623314226716675808,[ 0.56429388 -0.22855852],1
DATA/audio_X1623314226908543584,[ 0.55158668 -0.24139634],1
DATA/audio_X1623314227099640512,[ 0.52130666 -0.25077574],1
DATA/audio_X1623314227487343072,[ 0.42654211 -0.20200701],1
DATA/audio_X1623314227675515936,[ 0.42040886 -0.16950985],1
DATA/audio_X1623314227868770624,[ 0.40080121 -0.15521057],1
DATA/audio_X1623314228100630624,[ 0.37355558 -0.14028388],1
DATA/audio_X1623314228253751904,[ 0.32652208 -0.08381734],1
DATA/audio_X1623314228444894496,[ 0.33020654 -0.09514014],1
DATA/audio_X1623314228638873696,[ 0.31135136 -0.11155584],1
DATA/audio_X1623314228829163136,[ 0.31766086 -0.14129716],1
DATA/audio_X1623314229019484896,[ 0.28405129 -0.18409262],1
DATA/audio_X1623314229213325344,[ 0.2525542  -0.20277448],1
DATA/audio_X1623314229404821312,[ 0.21779269 -0.23002078],1
DATA/audio_X1623314229597742688,[ 0.16844103 -0.22821837],1
DATA/audio_X1623314229788643584,[ 0.14337406 -0.22789235],1
DATA/audio_X1623314229979042336,[ 0.11675622 -0.24973917],1
DATA/audio_X1623314230172311872,[ 0.09003638 -0.24288088],1
DATA/audio_X1623314230363237952,[ 0.08981754 -0.23421927],1
DATA/audio_X1623314230556462176,[ 0.07487541 -0.22240137],1
